"EXPERIMENT","EVENNESS_CONTROL","RATIO","EXTRACTED_RESOURCES","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","NUM_DETECTORS","NUM_EXTRACTORS","NUM_TRANSPORTERS","SIGNAL_SENT","SIGNAL_RECEIVED"
91,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"d",5268,0.376344086021505,0.110635075268817,298.426037,887.083984,9936.007812,1036.013097,8,8,8,124377,75853
92,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"d",2018,1,0.358309636363636,59.253309,672.703125,5133.115234,391.906838,8,8,8,136810,74544
93,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"d",8915,1,0.561680935483871,36.024362,1866.519531,14528.673828,744.568367,8,8,8,506101,164146
94,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"d",65,0.272727272727273,0.0115411818181818,64.979024,146.234375,3155.648437,415.692307,8,8,8,24795,13615
95,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"d",7,0.0303030303030303,0.000414272727272727,66.892086,858.58789,2767.203125,542.714285,8,8,8,131106,68154
96,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"r",9151,0.96969696969697,0.541607454545455,46.687084,1051.796875,4167.177734,225.274068,8,8,8,243787,137328
97,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"d",5,0.0303030303030303,0.000295909090909091,50.922082,545.644531,3375.273437,450.2,8,8,8,66328,50788
98,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"d",19,0.0606060606060606,0.00112451515151515,68.162838,122.894531,1824.027343,534.315789,8,8,8,16290,10460
99,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"r",7640,0.96969696969697,0.45217803030303,68.831521,411.082031,3978.117187,265.180759,8,8,8,79684,50401
100,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"d",8,0.0606060606060606,0.000473484848484848,120.357636,214.6875,3161.144531,420.749999,8,8,8,29078,14489
101,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"r",6786,1,0.42754535483871,110.582433,1716.423828,12470.285156,547.031093,8,8,8,318037,207470
102,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"r",2447,1,0.434481454545455,27.903217,443.914062,4692.86914,269.328156,8,8,8,98637,57705
103,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"r",2773,1,0.492365,27.43772,757.560546,4904.179687,216.571222,8,8,8,167552,77773
104,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"r",9333,0.96969696969697,0.552379242424243,75.745678,700.820312,4423.74414,243.253937,8,8,8,155618,84679
105,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"r",7226,0.96969696969697,0.427675181818182,77.199195,307.86914,4047.023437,220.971907,8,8,8,59552,40483
106,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"d",5,0.010752688172043,0.000105,281.44421,1069.527343,6599.736328,1345.8,8,8,8,165520,90637
107,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"d",1508,0.818181818181818,0.267755636363636,37.063982,644.240234,4197.585937,443.446286,8,8,8,132353,64433
108,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"r",9537,1,0.600869451612903,116.023993,1256.693359,12847.582031,556.441019,8,8,8,263312,149330
109,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"d",36,0.0606060606060606,0.00213066666666667,56.161822,1023.001953,2512.265625,538.694444,8,8,8,207898,103185
110,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"d",45,0.021505376344086,0.00094505376344086,257.286658,748.267578,6672.703125,1100.511111,8,8,8,73729,64599
111,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"r",6363,1,0.40089464516129,146.522598,953.40039,11266.210937,725.088323,8,8,8,161352,110565
112,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"d",1664,0.387096774193548,0.104838709677419,112.569859,1935.896484,13808.376953,1154.108774,8,8,8,241908,177176
113,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"d",24,0.021505376344086,0.000504032258064516,294.676581,1763.148437,8637.15625,1158.875,8,8,8,236546,173372
114,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"r",2687,1,0.477095090909091,28.281295,478.919921,4424.6875,249.796427,8,8,8,91619,61004
115,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"d",16,0.032258064516129,0.000336021505376344,223.071345,1636.40039,10666.392578,1367.8125,8,8,8,130010,123671
116,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"d",32,0.032258064516129,0.000672043010752688,244.354856,2434.544921,13279.414062,1315.34375,8,8,8,259170,184751
117,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"d",1238,0.636363636363636,0.219815272727273,62.10261,329.771484,3998.451171,408.383683,8,8,8,67239,31907
118,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"r",8129,0.939393939393939,0.481119787878788,72.536436,452.322265,4324.615234,260.771435,8,8,8,77345,52525
119,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"r",8812,1,0.555191516129032,138.53684,1339.765625,11719.71289,611.647072,8,8,8,285289,159525
120,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"d",4,0.0909090909090909,0.000236727272727273,120.817851,250.115234,3136.382812,455.5,8,8,8,21984,15713
121,"m","1:1:2","f","a","s","b",3,8,625,31,12,78,"d",8356,1,0.526461677419355,34.219232,1320.164062,8908.697265,638.579463,6,6,12,322622,137971
122,"m","1:1:2","f","a","s","b",3,8,225,33,4,28,"d",46,0.0606060606060606,0.00272251515151515,72.593259,287.623046,2644.457031,415.543478,6,6,12,38188,32521
