"EXPERIMENT","EVENNESS_CONTROL","EXTRACTED_RESOURCES","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","NUM_DETECTORS","NUM_EXTRACTORS","NUM_TRANSPORTERS","SIGNAL_SENT","SIGNAL_RECEIVED"
36,"d","f","a","s","b",3,4,625,93,12,78,"d",8.94648829431438,0.0120473262128241,0.000187883770273672,176.243652585284,943.032216274248,6494.10233938796,1260.64177155596,9.36120401337793,7.42809364548495,6.64882943143813,182181.301003344,103379.147157191
37,"d","f","a","s","b",3,4,225,11,4,28,"r",1488.61204013378,0.687442991790818,0.264313176345394,4.27480506354515,426.698055575251,4129.35500453177,324.728817393103,6.70903010033445,8,7.66220735785953,115676.434782609,41068.4581939799
38,"d","f","a","s","b",3,4,625,31,12,78,"r",3566.01003344482,0.607401014133132,0.22467299568454,169.383189772575,1044.13136842809,7750.66097234783,905.222418860068,7.78260869565217,7.62876254180602,7.39799331103679,282595.267558528,116886.43812709
39,"d","f","a","s","b",3,4,225,11,4,28,"d",37.0468227424749,0.142292490118577,0.00657787990270599,2.6836601638796,60.521268367893,3342.20593994314,399.410779869732,8.72909698996656,6.56521739130435,7.04013377926421,18027.6321070234,6270.3779264214
40,"d","f","a","s","b",3,4,225,33,4,28,"r",323.307692307692,0.13114421810074,0.0191351473598865,64.4738475217391,415.933443053512,2509.36042623746,361.143975952055,8.78595317725753,6.63210702341137,7.4314381270903,107491.217391304,40623.1806020067
41,"d","f","a","s","b",3,4,225,11,4,28,"d",39.1137123745819,0.189419276375798,0.00694487169352387,26.4366921204013,431.80530761204,2869.49888906354,508.292641918605,8.99665551839465,6.98327759197324,7.41471571906354,140780.454849498,39236.8795986622
42,"d","f","a","s","b",3,4,225,11,4,28,"d",71.257525083612,0.193067801763454,0.0126522189115233,20.6276916187291,360.789767535117,2630.26349507358,508.769919763441,8.73578595317726,7.16722408026756,7.34113712374582,92141.6655518395,36714.5986622074
43,"d","f","a","s","b",3,4,625,93,12,78,"r",88.38127090301,0.0390908763980293,0.0018561205092243,205.725952886288,473.201844274247,5396.56513204348,880.838396703448,9.35451505016722,6.68561872909699,6.92307692307692,87633.6655518395,48863.5618729097
44,"d","f","a","s","b",3,4,625,93,12,78,"d",26.6822742474916,0.0195634192829144,0.000560359405904988,81.3991588695652,1459.99349349833,11032.6473396421,1062.95975968148,8.7123745819398,7.41137123745819,7.12709030100334,281807.294314381,146093.74916388
45,"d","f","a","s","b",3,4,625,31,12,78,"r",5472.07357859532,0.78012730607401,0.344762684863524,62.6191703812709,1437.60056919064,11549.4819119298,643.707309893471,7.47826086956522,8.52842809364548,6.51505016722408,364858.668896321,157780.658862876
46,"d","f","a","s","b",3,4,625,93,12,78,"r",632.056856187291,0.0838997374761751,0.0132740384075952,192.991085023411,1029.13712332441,6688.88795942475,865.062207505119,8.65886287625418,6.79264214046823,7.0133779264214,180594.45819398,100064.003344482
47,"d","f","a","s","b",3,4,225,33,4,28,"d",0.655518394648829,0.0109455761629675,3.87949731427992e-05,9.92121375250836,561.774736983278,2918.17938005351,411.326761095238,9.12709030100334,7.1438127090301,6.93311036789298,115070.722408027,64493.474916388
48,"d","f","a","s","b",3,4,225,33,4,28,"d",0.217391304347826,0.00445930880713489,1.28656126482213e-05,95.5940584046823,452.889344240803,2347.08909863545,523.86041665,9.90301003344482,7.13377926421405,6.50167224080268,103822.334448161,41751.0200668896
