"EXPERIMENT","MODEL","RICHNESS_TYPE","RICHNESS_VARIATION","RICHNESS","TRAITSUM","T2SRATIO","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","SIGNAL_SENT","SIGNAL_RECEIVED"
139,"a","bi","3_8",3,24,2,"s","b",3,4,625,31,12,78,"r",2,0.032258064516129,0.000126,626.762207,849.771484,2981.74414,1294,236295,78104
140,"a","bi","3_8",3,24,2,"s","b",3,4,625,31,12,78,"d",7,0.032258064516129,0.000441,287.496758,437.287109,4771.013671,721,89342,39070
141,"a","bi","3_8",3,24,2,"s","b",3,4,625,93,12,78,"d",0,0,0,383.555665,657.697265,3312.365234,NA,89404,72940
142,"a","bi","3_8",3,24,2,"s","b",3,4,625,93,12,78,"d",14,0.010752688172043,0.000294010752688172,189.038606,1325.777343,5731.080078,1185.142857,359750,155009
143,"a","bi","3_8",3,24,2,"s","b",3,4,625,31,12,78,"d",0,0,0,544.72054,709.386718,3113.179687,NA,157267,74367
144,"a","bi","3_8",3,24,2,"s","b",3,4,625,31,12,78,"r",0,0,0,345.000651,620.611328,4874.238281,NA,138972,83020
145,"a","bi","3_8",3,24,2,"s","b",3,4,225,33,4,28,"d",0,0,0,215.349609,212.595703,790.43164,NA,27354,20489
146,"a","bi","3_8",3,24,2,"s","b",3,4,225,11,4,28,"r",1,0.0909090909090909,0.000177545454545455,92.00554,170.142578,1947.097656,306,39275,27820
147,"a","bi","3_8",3,24,2,"s","b",3,4,225,33,4,28,"d",0,0,0,169.249674,177.615234,1357.765625,NA,40936,18314
148,"a","bi","3_8",3,24,2,"s","b",3,4,225,33,4,28,"d",0,0,0,244.158203,175.746093,1060.035156,NA,23342,17404
149,"a","bi","3_8",3,24,2,"s","b",3,4,625,31,12,78,"r",0,0,0,537.112468,526.695312,3474.003906,NA,144254,75802
150,"a","bi","3_8",3,24,2,"s","b",3,4,225,11,4,28,"r",0,0,0,184.354655,132.460937,1382.322265,NA,39419,10149
151,"a","bi","3_8",3,24,2,"s","b",3,4,225,11,4,28,"d",654,0.363636363636364,0.116122090909091,89.811481,164.792968,961.976562,276.78899,40286,14048
152,"a","bi","3_8",3,24,2,"s","b",3,4,225,11,4,28,"r",2093,0.909090909090909,0.371626363636364,14.787985,349.332031,1676.912109,213.356903,98742,43270
153,"a","bi","3_8",3,24,2,"s","b",3,4,625,93,12,78,"r",3,0.010752688172043,6.3e-05,338.599168,318.023437,2152.02539,23.666666,61350,39067
154,"a","bi","3_8",3,24,2,"s","b",3,4,225,33,4,28,"r",0,0,0,203.617026,248.628906,1133.21875,NA,53335,32496
155,"a","bi","3_8",3,24,2,"s","b",3,4,225,11,4,28,"d",0,0,0,81.971354,92.970703,1708.318359,NA,16951,9354
156,"a","bi","3_8",3,24,2,"s","b",3,4,625,93,12,78,"r",0,0,0,679.591147,472.439453,3488.628906,NA,83091,65959
157,"a","bi","3_8",3,24,2,"s","b",3,4,225,11,4,28,"r",780,0.636363636363636,0.138494272727273,87.648403,379.992187,1329.386718,352.173076,98344,40033
158,"a","bi","3_8",3,24,2,"s","b",3,4,225,33,4,28,"r",0,0,0,158.283855,301.892578,1572.183593,NA,32821,28148
159,"a","bi","3_8",3,24,2,"s","b",3,4,225,11,4,28,"r",632,0.545454545454545,0.112215818181818,87.027943,189.193359,1219.716796,356.01424,53441,28078
160,"a","bi","3_8",3,24,2,"s","b",3,4,625,31,12,78,"d",2,0.032258064516129,0.000126,377.859381,505.052734,3110.511718,458.5,77206,53275
161,"a","bi","3_8",3,24,2,"s","b",3,4,625,93,12,78,"r",3,0.010752688172043,6.3e-05,748.000817,770.482421,2730.949218,112.333333,163947,126552
162,"a","bi","3_8",3,24,2,"s","b",3,4,625,31,12,78,"r",0,0,0,503.080078,1298.65625,3521.15039,NA,213441,135489
163,"a","bi","3_8",3,24,2,"s","b",3,4,625,93,12,78,"d",0,0,0,584.800354,917.957031,2882.376953,NA,164373,106442
164,"a","bi","3_8",3,24,2,"s","b",3,4,625,93,12,78,"r",0,0,0,819.892579,778.548828,3185.55664,NA,152945,93521
165,"a","bi","3_8",3,24,2,"s","b",3,4,625,31,12,78,"r",0,0,0,504.691408,583.613281,4548.527343,NA,138871,81544
166,"a","bi","3_8",3,24,2,"s","b",3,4,625,31,12,78,"d",8,0.0645161290322581,0.000504032258064516,250.368421,683.146484,3286.75,1333.75,82822,65922
167,"a","bi","3_8",3,24,2,"s","b",3,4,225,11,4,28,"d",1055,0.545454545454545,0.187322363636364,114.146784,277.99414,1150.699218,292.585781,86537,29861
168,"a","bi","3_8",3,24,2,"s","b",3,4,625,93,12,78,"r",0,0,0,379.033702,534.328125,4010.378906,NA,122009,64609
169,"a","bi","3_8",3,24,2,"s","b",3,4,225,11,4,28,"r",0,0,0,142.352865,245.55664,1353.0625,NA,38238,23871
170,"a","bi","3_8",3,24,2,"s","b",3,4,625,31,12,78,"r",1,0.032258064516129,6.3e-05,551.743002,719.160156,2828.667968,555,169880,100846
171,"a","bi","3_8",3,24,2,"s","b",3,4,225,33,4,28,"r",0,0,0,117.283529,216.417968,1838.36914,NA,41058,23750
172,"a","bi","3_8",3,24,2,"s","b",3,4,625,93,12,78,"d",0,0,0,430.614258,839.388671,2681.833984,NA,128791,101056
173,"a","bi","3_8",3,24,2,"s","b",3,4,625,93,12,78,"r",4,0.010752688172043,8.4e-05,394.630864,498.80664,3557.003906,158.75,79408,53760
174,"a","bi","3_8",3,24,2,"s","b",3,4,625,31,12,78,"r",2611,0.548387096774194,0.164503516129032,217.778957,416.876953,3547.142578,465.550746,77480,49729
